nama pemeriksaan,nama awam,katerogi,Harga
1.5T MRI UROGRAPHY CONTRAST,1.5T Mri Urography Contrast (pemeriksaan detail jaringan dan organ),,5692000
1.5T MRI WHOLE BODY CONTRAST,1.5T Mri Whole Body Contrast (pemeriksaan detail jaringan dan organ),,14809000
1.5T MRI WHOLE SPINE CONTRAST,1.5T Mri Whole Spine Contrast (pemeriksaan detail jaringan dan organ),,9992000
1.5T MRI WRIST CONTRAST (1 SIDE),1.5T Mri Wrist Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI-MRA BRAIN  CONTRAST +MRS,1.5T Mri-Mra Brain  Contrast +Mrs (pemeriksaan detail jaringan dan organ),,9992000
MRI MASTOID CNTRS,MRI mastoid cntrs (pemeriksaan detail jaringan dan organ),,5418000
MRI PELVIC CNTRS,MRI pelvic cntrs (pemeriksaan detail jaringan dan organ),,5692000
MRI ABDOMEN + PELVIS CNTRS,MRI abdomen + pelvis cntrs (pemeriksaan detail jaringan dan organ),,10316000
MRI UPPER ABDOMEN WITH PMV,MRI upper abdomen with pmv (pemeriksaan detail jaringan dan organ),,13132000
MRI MUSC EXT CNTRS,MRI musc ext cntrs (pemeriksaan detail jaringan dan organ),,5479000
MRI MUSC HIP JOINT CNTRS BILATERAL,MRI musc hip joint cntrs bilateral (pemeriksaan detail jaringan dan organ),,8976000
MRI PELVIC NON-CNTRS,MRI pelvic non-cntrs (pemeriksaan detail jaringan dan organ),,4737000
MRI ABD + PELVIS NON-CNTRS,MRI abd + pelvis non-cntrs (pemeriksaan detail jaringan dan organ),,8447000
MRI MUSC WRIST JOINT/FING NON-CNTRS,MRI musc wrist joint/fing non-cntrs (pemeriksaan detail jaringan dan organ),,4259000
MRI MUSC EXTREMITY NON-CNTRS,MRI musc extremity non-cntrs (pemeriksaan detail jaringan dan organ),,4259000
MRI MUSC KNEE JOINT NON-CNTRS BILATERAL,MRI musc knee joint non-cntrs bilateral (pemeriksaan detail jaringan dan organ),,6851000
MRI MUSC ANKLE NON-CNTRS BILATERAL,MRI musc ankle non-cntrs bilateral (pemeriksaan detail jaringan dan organ),,6994000
MRI MUSC SHOULDER NON-CNTRS BILATERAL,MRI musc shoulder non-cntrs bilateral (pemeriksaan detail jaringan dan organ),,6851000
MRI NAVIGASI NON-CNTRS,MRI navigasi non-cntrs (pemeriksaan detail jaringan dan organ),,4218000
MRI MUSC HIP JOINT NON-CNTRS BILATERAL,MRI musc hip joint non-cntrs bilateral (pemeriksaan detail jaringan dan organ),,6943000
1.5T MRI ANKLE NON CONTRAST (1 SIDE),1.5T Mri Ankle Non Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI ANTEBRACHII NON CONTRAST (1 SIDE),1.5T Mri Antebrachii Non Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI BREAST NON CONTRAST,1.5T Mri Breast Non Contrast (pemeriksaan detail jaringan dan organ),,4056000
1.5T MRI CERVICAL NON CONTRAST,1.5T Mri Cervical Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI ELBOW NON CONTRAST (1 SIIDE),1.5T Mri Elbow Non Contrast (1 Siide) (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI FEMUR NON CONTRAST (1 SIDE),1.5T Mri Femur Non Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,4259000
MRI HEAD MASTOID NON CONTRAST,MRI head mastoid non contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI HEAD NON CONTRAST,1.5T Mri Head Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI HIP NON CONTRAST (1 SIDE),1.5T Mri Hip Non Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,4737000
1.5T MRI KNEE NON CONTRAST (1 SIDE),1.5T Mri Knee Non Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRA LUMBAL NON CONTRAST,1.5T Mra Lumbal Non Contrast,,4259000
1.5T MRI MANUS NON CONTRAST (1 SIDE),1.5T Mri Manus Non Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI MOUTH NON CONTRAST,1.5T Mri Mouth Non Contrast (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI MRCP NON CONTRAST,1.5T Mri Mrcp Non Contrast (pemeriksaan detail jaringan dan organ),,4737000
1.5T MRI MUSC TMJ NON CONTRAST,1.5T Mri Musc Tmj Non Contrast (pemeriksaan detail jaringan dan organ),,4178000
1.5T MRI NASOPHARYNX NON CONTRAST,1.5T Mri Nasopharynx Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI NECK / LARYNX NON CONTRAST,1.5T Mri Neck / Larynx Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI ORBITA NON CONTRAST,1.5T Mri Orbita Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI PLEXUS LUMBALIS NON CONTRAST,1.5T Mri Plexus Lumbalis Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI SHOULDER NON CONTRAST (1 SIDE),1.5T Mri Shoulder Non Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI SINUS PARANASALIS NON CONTRAST,1.5T Mri Sinus Paranasalis Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI SPECTROSCOPY NON CONTRAST,1.5T Mri Spectroscopy Non Contrast (pemeriksaan detail jaringan dan organ),,5957000
1.5T MRI SPINE SACRAL / COXYGEAL NON CONTRAST,1.5T Mri Spine Sacral / Coxygeal Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI THORACIC NON CONTRAST,1.5T Mri Thoracic Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI THORAX MEDIASTINUM / LUNG NON CONTRAST,1.5T Mri Thorax Mediastinum / Lung Non Contrast (pemeriksaan detail jaringan dan organ),,4259000
1.5T MRI UPPER ABDOMEN NON CONTRAST,1.5T Mri Upper Abdomen Non Contrast (pemeriksaan detail jaringan dan organ),,4737000
1.5T MRI UROGRAPHY NON CONTRAST,1.5T Mri Urography Non Contrast (pemeriksaan detail jaringan dan organ),,4737000
1.5T MRI WHOLE BODY NON CONTRAST,1.5T Mri Whole Body Non Contrast (pemeriksaan detail jaringan dan organ),,11943000
1.5T MRA ABDOMINAL NON CONTRAST,1.5T Mra Abdominal Non Contrast,,4737000
1.5T MRA CAROTIS NON CONTRAST,1.5T Mra Carotis Non Contrast,,4259000
1.5T MRA CERVICAL NON CONTRAST,1.5T Mra Cervical Non Contrast,,5479000
1.5T MRA HEAD NON CONTRAST,1.5T Mra Head Non Contrast,,4259000
1.5T MRA LOWER EXTREMITY NON CONTRAST,1.5T Mra Lower Extremity Non Contrast,,4259000
1.5T MRA THORACAL NON CONTRAST,1.5T Mra Thoracal Non Contrast,,4259000
1.5T MRA UPPER EXTREMITY NON CONTRAST,1.5T Mra Upper Extremity Non Contrast,,4259000
1.5T MRI + MRA HEAD NON CONTRAST,1.5T Mri + Mra Head Non Contrast (pemeriksaan detail jaringan dan organ),,7299000
X-RAY CEPHALOMETRIC,Foto rontgen cephalometric (untuk melihat kondisi tulang dan organ terkait),,448000
X-RAY DENTAL,Foto rontgen dental (untuk melihat kondisi tulang dan organ terkait),,214000
X-RAY OCLUSAL,Foto rontgen oclusal (untuk melihat kondisi tulang dan organ terkait),,325000
X-RAY PANORAMIC,Foto rontgen panoramic (untuk melihat kondisi tulang dan organ terkait),,417000
X-RAY PERIAPICAL,Foto rontgen periapical (untuk melihat kondisi tulang dan organ terkait),,325000
PACKAGE FILM PANORAMIC,Package Film Panoramic,,71000
SINAR TEMBUS (TV GUIDANCE) - FOR THE FIRST ONE HOUR,Sinar Tembus (Tv Guidance) - For The First One Hour,,681000
SINAR TEMBUS (TV GUIDANCE) - FOR THE NEXT THIRTY MINUTES,Sinar Tembus (Tv Guidance) - For The Next Thirty Minutes,,651000
CD / DVD RADIOLOGY,Cd / Dvd Radiology,,113000
1 EXPERTISE RADIOLOGY,1 Expertise Radiology,,152000
PACKAGE FILM X RAY,Package Film X Ray,,244000
PACKAGE FILM USG,Package Film Usg (untuk melihat kondisi organ secara detail),,184000
PHOTO USG (BW) PER EXP,Photo Usg (Bw) Per Exp (untuk melihat kondisi organ secara detail),,92000
PHOTO USG (COLOUR) PER EXP,Photo Usg (Colour) Per Exp (untuk melihat kondisi organ secara detail),,122000
1 SHEET CT FILM,1 Sheet Ct Film,,265000
EXPERTISE CT-SCAN,Expertise Ct-Scan,,540000
PACKAGE FILM CT,Package Film Ct,,254000
1 SHEET MRI FILM,1 Sheet Mri Film (pemeriksaan detail jaringan dan organ),,254000
PACKAGE FILM MRI,Package Film Mri (pemeriksaan detail jaringan dan organ),,71000
1 SHEET FILM  RADIOLOGY,1 Sheet Film  Radiology,,203000
USG COMPLETE ABDOMEN,USG perut (untuk melihat kondisi organ secara detail),,1189000
USG GUIDED FOR DIAGNOSTIC,USG guided for diagnostic (untuk melihat kondisi organ secara detail),,1353000
USG GUIDED FOR DIAGNOSTIC WITH RISK,USG guided for diagnostic with risk (untuk melihat kondisi organ secara detail),,2887000
USG GUIDED FOR THERAPY,USG guided for therapy (untuk melihat kondisi organ secara detail),,2389000
USG GUIDED FOR THERAPY WITH RISK,USG guided for therapy with risk (untuk melihat kondisi organ secara detail),,7847000
USG LOWER ABDOMEN,USG perut (untuk melihat kondisi organ secara detail),,956000
USG MAMMAE,USG payudara (untuk melihat kondisi organ secara detail),,1189000
USG MUSKULOSKELETAL,USG muskuloskeletal (untuk melihat kondisi organ secara detail),,1078000
USG NECK,USG neck (untuk melihat kondisi organ secara detail),,1078000
USG OBSTETRY-GYNAECOLOGY,USG organ reproduksi wanita (untuk melihat kondisi organ secara detail),,1078000
USG PAEDIATRIC HEAD,USG paediatric head (untuk melihat kondisi organ secara detail),,1189000
USG PAROTIS,USG parotis (untuk melihat kondisi organ secara detail),,1078000
USG PELVIC,USG pelvic (untuk melihat kondisi organ secara detail),,1372000
USG SCROTAL,USG testis (untuk melihat kondisi organ secara detail),,1189000
USG SOFT TISSUE / SUPERFICIAL,USG soft tissue / superficial (untuk melihat kondisi organ secara detail),,1078000
USG THORAX,USG thorax (untuk melihat kondisi organ secara detail),,1189000
USG THYROID,USG tiroid (untuk melihat kondisi organ secara detail),,1078000
USG UPPER ABDOMEN,USG perut (untuk melihat kondisi organ secara detail),,1016000
KIDNEY / URINARY BLADDER / VESICA URINARIA USG / GINJAL / BULI-BULI USG,Kidney / Urinary Bladder / Vesica Urinaria Usg / Ginjal / Buli-Buli Usg (untuk melihat kondisi organ secara detail),,1189000
USG UROLOGY (RADIOLOGY),USG urology (radiology) (untuk melihat kondisi organ secara detail),,1016000
OBSGYN 4D,Obsgyn 4D,,2044000
OBSGYN 3D - SIMPLE,Obsgyn 3D - Simple,,1231000
USG 3D ABDOMEN,USG perut (untuk melihat kondisi organ secara detail),,1525000
USG 3D SMALL PARTS/MAMMAE/THYROID,USG payudara (untuk melihat kondisi organ secara detail),,1485000
USG ABDOMEN COLOR DOPPLER,USG perut (untuk melihat kondisi organ secara detail),,1538000
USG ARTERIAL-VENA ORGAN,USG arterial-vena organ (untuk melihat kondisi organ secara detail),,2541000
USG CAROTIS (2 SIDE),USG carotis (2 side) (untuk melihat kondisi organ secara detail),,1987000
USG EXTRIMITES SIST. ARTERIAL (1 SIDE),USG extrimites sist. arterial (1 side) (untuk melihat kondisi organ secara detail),,4750000
USG EXTRIMITES SIST. VENA (1 SIDE),USG extrimites sist. vena (1 side) (untuk melihat kondisi organ secara detail),,4750000
USG EXTRIMITES SIST. VENA (2 SIDE),USG extrimites sist. vena (2 side) (untuk melihat kondisi organ secara detail),,5082000
USG GYNAECOLOGY,USG organ reproduksi wanita (untuk melihat kondisi organ secara detail),,1444000
USG ORGAN SUPERFICIAL COLOR DOPPLER,USG aliran darah (untuk melihat kondisi organ secara detail),,2074000
USG SCROTAL COLOR DOPPLER,USG testis (untuk melihat kondisi organ secara detail),,2529000
USG SMALL PARTS/ MAMMAE/ THYROID COLOR DOPPLER,USG payudara (untuk melihat kondisi organ secara detail),,2271000
HERNIA INGUINAL USG,Hernia Inguinal Usg (untuk melihat kondisi organ secara detail),,1189000
